"age","sex","mx","location","sex_age_cat"
82,"male",0.0645352279455299,"Australian Capital Territory","male_82"
82,"female",0.0377035132819194,"Australian Capital Territory","female_82"
83,"male",0.0655216284987277,"Australian Capital Territory","male_83"
83,"female",0.0404191616766467,"Australian Capital Territory","female_83"
84,"male",0.0621693121693122,"Australian Capital Territory","male_84"
84,"female",0.0537459283387622,"Australian Capital Territory","female_84"
85,"male",0.0839445802770986,"Australian Capital Territory","male_85"
85,"female",0.0670194003527337,"Australian Capital Territory","female_85"
86,"male",0.103513770180437,"Australian Capital Territory","male_86"
86,"female",0.071102413568167,"Australian Capital Territory","female_86"
87,"male",0.102320675105485,"Australian Capital Territory","male_87"
87,"female",0.0907738095238095,"Australian Capital Territory","female_87"
88,"male",0.092948717948718,"Australian Capital Territory","male_88"
88,"female",0.09,"Australian Capital Territory","female_88"
89,"male",0.124293785310734,"Australian Capital Territory","male_89"
89,"female",0.112014453477868,"Australian Capital Territory","female_89"
9,"male",0,"Australian Capital Territory","male_9"
9,"female",0,"Australian Capital Territory","female_9"
90,"male",0.16006600660066,"Australian Capital Territory","male_90"
90,"female",0.12037037037037,"Australian Capital Territory","female_90"
91,"male",0.153535353535354,"Australian Capital Territory","male_91"
91,"female",0.15922107674685,"Australian Capital Territory","female_91"
92,"male",0.214953271028037,"Australian Capital Territory","male_92"
92,"female",0.18010752688172,"Australian Capital Territory","female_92"
93,"male",0.224358974358974,"Australian Capital Territory","male_93"
93,"female",0.193215339233038,"Australian Capital Territory","female_93"
94,"male",0.209876543209877,"Australian Capital Territory","male_94"
94,"female",0.22879684418146,"Australian Capital Territory","female_94"
95,"male",0.203980099502488,"Australian Capital Territory","male_95"
95,"female",0.268361581920904,"Australian Capital Territory","female_95"
96,"male",0.317460317460317,"Australian Capital Territory","male_96"
96,"female",0.259259259259259,"Australian Capital Territory","female_96"
97,"male",0.321428571428571,"Australian Capital Territory","male_97"
97,"female",0.259259259259259,"Australian Capital Territory","female_97"
98,"male",0.243589743589744,"Australian Capital Territory","male_98"
98,"female",0.466666666666667,"Australian Capital Territory","female_98"
99,"male",0.433333333333333,"Australian Capital Territory","male_99"
99,"female",0.447916666666667,"Australian Capital Territory","female_99"
100,"male",0.433333333333333,"Australian Capital Territory","male_100"
100,"female",0.447916666666667,"Australian Capital Territory","female_100"
0,"male",0.00331340012936781,"New South Wales","male_0"
0,"female",0.00288170119739653,"New South Wales","female_0"
1,"male",0.000215610176800345,"New South Wales","male_1"
1,"female",0.000199536789595582,"New South Wales","female_1"
