"year","sex","tbalc","carc","prsc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
21,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
22,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
23,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
24,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
25,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
26,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
27,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
28,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
29,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
30,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
31,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
32,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
33,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
34,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
35,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
36,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
37,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
38,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
39,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
40,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
41,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
42,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
43,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
44,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
45,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
46,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
47,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
48,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
49,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
50,"male",0.958498023715415,0.934725848563969,1,1.05641025641026,0.96875,1.06299212598425,1.05376344086022,0.9375,0.975308641975309,0.963963963963964,0.992156862745098,0.894736842105263,0.954052871964958,0.954052871964958,0.989106518165073,1.00240339633234,1.05449930057762,0.947121447019675
