"year","sex","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","prsc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
41,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
42,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
43,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
44,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
45,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
46,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
47,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
48,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
49,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
5,"male",0.871428571428571,0.716981132075472,0.906976744186047,0.867924528301887,1.05050505050505,1.02564102564103,1,0.971014492753623,0.907407407407407,0.935483870967742,0.885714285714286,1.06542056074766,0.813192358190705,0.813192358190705,1,1.00241514123244,1.07461539542655,1
